from, to, dqf, range, status, distance
2, 3, 0, 452, 16, 200
2, 3, 0, 433, 16, 200
2, 3, 0, 431, 16, 200
2, 3, 0, 430, 16, 200
2, 3, 0, 440, 16, 200
2, 3, 0, 444, 16, 200
2, 3, 0, 448, 16, 200
2, 3, 0, 430, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 431, 16, 200
2, 3, 0, 424, 16, 200
2, 3, 0, 418, 16, 200
2, 3, 0, 428, 16, 200
2, 3, 0, 395, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 422, 16, 200
2, 3, 0, 422, 16, 200
2, 3, 0, 444, 16, 200
2, 3, 0, 418, 16, 200
2, 3, 0, 421, 16, 200
2, 3, 0, 444, 16, 200
2, 3, 0, 425, 16, 200
2, 3, 0, 423, 16, 200
2, 3, 0, 449, 16, 200
2, 3, 0, 447, 16, 200
2, 3, 0, 435, 16, 200
2, 3, 0, 435, 16, 200
2, 3, 0, 428, 16, 200
2, 3, 0, 370, 16, 200
2, 3, 0, 436, 16, 200
2, 3, 0, 405, 16, 200
2, 3, 0, 384, 16, 200
2, 3, 0, 435, 16, 200
2, 3, 0, 379, 16, 200
2, 3, 0, 447, 16, 200
2, 3, 0, 393, 16, 200
2, 3, 0, 432, 16, 200
2, 3, 0, 393, 16, 200
2, 3, 0, 408, 16, 200
2, 3, 0, 387, 16, 200
2, 3, 82, 555, 16, 200
2, 3, 0, 435, 16, 200
2, 3, 0, 394, 16, 200
2, 3, 100, 669, 16, 200
2, 3, 0, 423, 16, 200
2, 3, 0, 438, 16, 200
2, 3, 0, 423, 16, 200
2, 3, 0, 410, 16, 200
2, 3, 0, 423, 16, 200
2, 3, 0, 435, 16, 200
2, 3, 0, 420, 16, 200
2, 3, 0, 420, 16, 200
2, 3, 0, 424, 16, 200
2, 3, 0, 423, 16, 200
2, 3, 0, 427, 16, 200
2, 3, 0, 409, 16, 200
2, 3, 0, 422, 16, 200
2, 3, 0, 421, 16, 200
2, 3, 0, 372, 16, 200
2, 3, 0, 427, 16, 200
2, 3, 0, 415, 16, 200
2, 3, 0, 410, 16, 200
2, 3, 0, 419, 16, 200
2, 3, 0, 419, 16, 200
2, 3, 0, 394, 16, 200
2, 3, 0, 440, 16, 200
2, 3, 0, 405, 16, 200
2, 3, 0, 377, 16, 200
2, 3, 100, 644, 16, 200
2, 3, 100, 644, 16, 200
2, 3, 0, 391, 16, 200
2, 3, 0, 342, 16, 200
2, 3, 0, 407, 16, 200
2, 3, 0, 429, 16, 200
2, 3, 0, 424, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 416, 16, 200
2, 3, 0, 433, 16, 200
2, 3, 0, 402, 16, 200
2, 3, 0, 401, 16, 200
2, 3, 0, 376, 16, 200
2, 3, 0, 376, 16, 200
2, 3, 0, 65535, 24, 200
2, 3, 0, 400, 16, 200
2, 3, 0, 407, 16, 200
2, 3, 0, 420, 16, 200
2, 3, 0, 415, 16, 200
2, 3, 0, 445, 16, 200
2, 3, 0, 389, 16, 200
2, 3, 0, 402, 16, 200
2, 3, 0, 424, 16, 200
2, 3, 0, 389, 16, 200
2, 3, 0, 445, 16, 200
2, 3, 0, 402, 16, 200
2, 3, 0, 443, 16, 200
2, 3, 0, 65535, 233, 200
2, 3, 0, 65535, 24, 200
2, 3, 0, 450, 16, 200
2, 3, 0, 435, 16, 200
2, 3, 0, 412, 16, 200
2, 3, 0, 438, 16, 200
2, 3, 0, 469, 16, 200
2, 3, 0, 452, 16, 200
2, 3, 0, 459, 16, 200
2, 3, 0, 421, 16, 200
2, 3, 0, 442, 16, 200
2, 3, 0, 422, 16, 200
2, 3, 0, 417, 16, 200
2, 3, 0, 452, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 438, 16, 200
2, 3, 0, 429, 16, 200
2, 3, 0, 433, 16, 200
2, 3, 0, 437, 16, 200
2, 3, 0, 417, 16, 200
2, 3, 0, 454, 16, 200
2, 3, 0, 423, 16, 200
2, 3, 0, 457, 16, 200
2, 3, 0, 447, 16, 200
2, 3, 0, 438, 16, 200
2, 3, 0, 441, 16, 200
2, 3, 0, 446, 16, 200
2, 3, 0, 447, 16, 200
2, 3, 0, 432, 16, 200
2, 3, 0, 444, 16, 200
2, 3, 0, 437, 16, 200
2, 3, 0, 423, 16, 200
2, 3, 0, 423, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 429, 16, 200
2, 3, 0, 419, 16, 200
2, 3, 0, 444, 16, 200
2, 3, 0, 416, 16, 200
2, 3, 0, 433, 16, 200
2, 3, 0, 438, 16, 200
2, 3, 0, 365, 16, 200
2, 3, 0, 441, 16, 200
2, 3, 0, 401, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 451, 16, 200
2, 3, 0, 455, 16, 200
2, 3, 0, 454, 16, 200
2, 3, 0, 454, 16, 200
2, 3, 0, 427, 16, 200
2, 3, 0, 440, 16, 200
2, 3, 100, 687, 16, 200
2, 3, 0, 359, 16, 200
2, 3, 100, 705, 16, 200
2, 3, 0, 446, 16, 200
2, 3, 0, 436, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 437, 16, 200
2, 3, 0, 429, 16, 200
2, 3, 0, 401, 16, 200
2, 3, 0, 437, 16, 200
2, 3, 0, 440, 16, 200
2, 3, 0, 476, 16, 200
2, 3, 0, 433, 16, 200
2, 3, 0, 425, 16, 200
2, 3, 0, 441, 16, 200
2, 3, 82, 603, 16, 200
2, 3, 0, 430, 16, 200
2, 3, 0, 440, 16, 200
2, 3, 0, 453, 16, 200
2, 3, 0, 430, 16, 200
2, 3, 0, 438, 16, 200
2, 3, 0, 365, 16, 200
2, 3, 0, 449, 16, 200
2, 3, 0, 414, 16, 200
2, 3, 0, 435, 16, 200
2, 3, 0, 447, 16, 200
2, 3, 0, 431, 16, 200
2, 3, 0, 370, 16, 200
2, 3, 0, 428, 16, 200
2, 3, 0, 410, 16, 200
2, 3, 0, 407, 16, 200
2, 3, 0, 401, 16, 200
2, 3, 0, 413, 16, 200
2, 3, 0, 418, 16, 200
2, 3, 0, 419, 16, 200
2, 3, 0, 416, 16, 200
2, 3, 0, 386, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 417, 16, 200
2, 3, 0, 410, 16, 200
2, 3, 0, 412, 16, 200
2, 3, 0, 395, 16, 200
2, 3, 0, 395, 16, 200
2, 3, 0, 422, 16, 200
2, 3, 0, 412, 16, 200
2, 3, 0, 393, 16, 200
2, 3, 0, 406, 16, 200
2, 3, 0, 414, 16, 200
2, 3, 0, 431, 16, 200
2, 3, 0, 419, 16, 200
2, 3, 0, 384, 16, 200
2, 3, 0, 426, 16, 200
2, 3, 0, 413, 16, 200
2, 3, 0, 406, 16, 200
2, 3, 0, 405, 16, 200
2, 3, 0, 384, 16, 200
2, 3, 0, 393, 16, 200
2, 3, 0, 394, 16, 200
2, 3, 0, 431, 16, 200
2, 3, 0, 409, 16, 200
2, 3, 0, 410, 16, 200
